id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,mentions,urls,photos,replies_count,retweets_count,likes_count,location,hashtags,link,retweet,quote_url
1068573280917803009,1068573280917803009,1543602697000,2018-11-30,11:31:37,MST,3100662583,stupidwz,stupidwz,,贺建奎以为他的事业会更上一层楼，却意外在世界恶名远扬，而且被支持他的政府、大学抛弃。贺是“不小心泄露了国家机密”，贺的“基因编辑婴儿”实验，是由中共上层推动，南科大负责实施，贺建奎具体执行的秘密计划。从上亿资金、贺作为“千人计划”引进南科大、这么多人被试验等，没有国家的力量绝对办不到。,,[],[],3,20,41,,[],https://twitter.com/stupidwz/status/1068573280917803009,,
1068567892764045318,1068567892764045318,1543601413000,2018-11-30,11:10:13,MST,458631766,kzglife,看中国文化网,,看客：基因编辑婴儿有备而来 贺建奎为党背锅？(图): 中国科学家贺建奎11月26日突然宣布首例免疫艾滋病的基因编辑婴儿成功诞生的消息，为世界震惊。有批评指向中共当局的监管责任，官方…  https://goo.gl/fb/K2TG3t ,,['https://goo.gl/fb/K2TG3t'],[],0,0,0,,[],https://twitter.com/kzglife/status/1068567892764045318,,
1068567635044909056,1068567635044909056,1543601351000,2018-11-30,11:09:11,MST,3100662583,stupidwz,stupidwz,,贺建奎在国外对于基因编辑涉及的伦理问题很清楚，换了一个文化，法律法规环境就结出恶果。甚至不少中国人认为，应当抓紧这项研究，让中国率先产生大量“新人类”，实现对世界各民族的全面超越。这么多无知无畏者宣扬以自身的毁灭来实现超越世界各民族的梦想，真的只有中国这样的文化土壤才会产生。,,[],[],1,4,16,,[],https://twitter.com/stupidwz/status/1068567635044909056,,
1068566173548204034,1068566173548204034,1543601003000,2018-11-30,11:03:23,MST,1411262076,xu_wenli,徐文立,,习近平衰败的原因找到了 戊戌年凶兆再现 命悬一线  https://www.youtube.com/watch?v=MxL2QstKnH4 … --------------------- 为了所谓世界第一和巨大商业利润，什么都敢干—— 中国拉响警报：基因编辑婴儿背后失控的产业链(图)  http://enewstree.com/discuz/forum.php?mod=viewthread&tid=214954&extra= …,,"['https://www.youtube.com/watch?v=MxL2QstKnH4', 'http://enewstree.com/discuz/forum.php?mod=viewthread&tid=214954&extra=']",[],0,1,0,,[],https://twitter.com/xu_wenli/status/1068566173548204034,,
1068566006824603649,1068421119932162048,1543600963000,2018-11-30,11:02:43,MST,915391763170385920,charlestonmuse,空谷回音👨‍💻,,最大的问题是不要人为的制造基因缺陷。如果基因编辑导致病变，尤其是在生育年龄之后，那这个病变基因会传播下去。这些携带者怎么办？他们也有生育生存权利。那社会就得负担医疗。基因编辑的危险性不能低估。当代人类社会已经不能够达尔文式进化。,['fangshimin'],[],[],0,0,0,,[],https://twitter.com/CharlestonMuse/status/1068566006824603649,,
1068563709801439232,1068563709801439232,1543600416000,2018-11-30,10:53:36,MST,901053706849861632,liu9oiu9b9c,quan  liu,,看客：基因编辑婴儿有备而来 贺建奎为党背锅？(图)  https://www.secretchina.com/news/gb/2018/12/01/877864.html … 伪火  https://goo.gl/WN95Iy  三退  https://goo.gl/YygSNj ,,"['https://www.secretchina.com/news/gb/2018/12/01/877864.html', 'https://goo.gl/WN95Iy', 'https://goo.gl/YygSNj']",[],0,0,0,,[],https://twitter.com/Liu9oiu9b9c/status/1068563709801439232,,
1068562169703223296,1068562169703223296,1543600048000,2018-11-30,10:47:28,MST,451619446,kanzhongguolife,看中国生活网,,看客：基因编辑婴儿有备而来 贺建奎为党背锅？(图): 中国科学家贺建奎11月26日突然宣布首例免疫艾滋病的基因编辑婴儿成功诞生的消息，为世界震惊。有批评指向中共当局的监管责任，官方…  https://goo.gl/fb/ep1SeK ,,['https://goo.gl/fb/ep1SeK'],[],0,0,0,,[],https://twitter.com/kanzhongguolife/status/1068562169703223296,,
1068559947410006016,1068559947410006016,1543599519000,2018-11-30,10:38:39,MST,781297046376415232,zhaoxiaokai1116,北海的清晨,,基因编辑、定制婴儿  pic.twitter.com/kFTEedgtzd,,[],['https://pbs.twimg.com/media/DtRJlXMU8AAr25c.jpg'],0,0,0,,[],https://twitter.com/zhaoxiaokai1116/status/1068559947410006016,,
1068559743784910848,1068559743784910848,1543599470000,2018-11-30,10:37:50,MST,2853407766,zhu0588,朱韵和,,@李静睿的昨日世界 ：看到那么多人在基因编辑的新闻下面用“处理”这样残酷冷血的词语，说应该让两个孩子安乐死，感到一种超出新闻本身的震惊和恶心。石黑一雄在《别让我走》中讨论的就是这个问题，有些生命的产生过程可能是个错误，但生命本身不是任何错误，永远不是。,,[],[],2,3,10,,[],https://twitter.com/zhu0588/status/1068559743784910848,,
1068559317626847232,1068559317626847232,1543599368000,2018-11-30,10:36:08,MST,2853407766,zhu0588,朱韵和,,@子陵在听歌：UMass做CRISPR的教授Ryder公布了部分GeneEditSummit会议贺建奎所披露的数据，从纯粹基因编辑的角度让人担忧的是，基因编辑并不成功。娜娜有两个被编辑的CCR5单倍基因突变体，Ins1和Delta4（为了避免Mosaicity），Ins1有11个与野生型（WT）完全不同的氨基酸序列，这11个氨基酸也是比经典  pic.twitter.com/QKhuTHuDMO,,[],"['https://pbs.twimg.com/media/DtRIiYmVsAAcFMW.jpg', 'https://pbs.twimg.com/media/DtRI2GRV4AE-2p9.jpg']",1,6,6,,[],https://twitter.com/zhu0588/status/1068559317626847232,,
