,time_stamp,text,HASHTAG,count_hashtag
1611,2018-03-18,@MENTION filled in 4 suddenly busy #CheckpointGal 2 give award 2 #MeToo #TimesUp guy brett ratner @ uber Zionist gala JNF plants European trees over destroyed-by Israel-#Palestine villages who gave gal heads up2avoid THAT photo op? @MENTION @MENTION @MENTION @MENTION @LINK …,"['CHECKPOINTGAL', 'TIMESUP', 'PALESTINE']",3
1612,2018-03-18,"A new episode of Dean-O-Files has been released!""#33: What #MeToo Says About Our Broken Sexuality"" is avalaible NOW at  @LINK  and in your favorite podcatchers.#sexuality #politics #news #podcast #airadio","['33', 'SEXUALITY', 'POLITICS', 'NEWS', 'PODCAST', 'AIRADIO']",6
1613,2018-03-18,Otra defensa silenciosa #MeToo  @LINK ,[],0
1614,2018-03-18,"Coolest coinage I've heard today, courtesy of @MENTION: ""performative feminism"". It's what far too many ""progressive"" men are doing. (You know the ones. They're undercutting #MeToo and dodging housework.) Seriously, guys, step up or shut up.",[],0
1615,2018-03-18,My friend wrote this! :D#MeToo: Emotional abuse primer  @LINK …,[],0
1616,2018-03-18,So Hollywood is fighting the #MeToo movement by taking #sharia $$. Nice! Can't wait to hear more lecturing from those assholes! @LINK …,['SHARIA'],1
1617,2018-03-18,"We love your poem, Aleenah, and we're so proud to have included your voice in this anthology.#MeToo #TimesUp...  @LINK ",['TIMESUP'],1
1618,2018-03-18,The latest YUJI's TIMES!  @LINK … #metoo,[],0
1619,2018-03-18,#metoo #LoveTrumpsHate @LINK …,['LOVETRUMPSHATE'],1
1620,2018-03-18,"What about #kidstoo? Fuck these #metoo whores. You wanted fame, you sucked a dick. Deal with the consequences. I'd never touch a kid, but I'll hold a door shut on a whore.",['KIDSTOO'],1
1621,2018-03-18,@MENTION @MENTION MENTALLY DAMN ILL. & girl me too lol #metoo ,[],0
1622,2018-03-18,#HarveyWeinstein ma dzisiaj urodziny. Ciekawe czy dostanie życzenia od kobiet.  #metoo #TimesUp,"['HARVEYWEINSTEIN', 'TIMESUP']",2
1623,2018-03-18,@MENTION @MENTION @MENTION @MENTION #MeToo  pic.twitter.com/1lYNZXNPU3,[],0
1624,2018-03-18,@MENTION @MENTION I'm defending him because no evidence has been given about what he's been accused of doing. Ask Barkin about Dennis Quaids #MeToo moment at her hands.,[],0
1625,2018-03-18,"Please remember, there has been absolutely no contact between Trump and the Kremlin  #ImpeachTrump #VoteThemOut #TrumpLies #Resist #Resign #UniteBlue #TrumpTrain #MAGA #ImWithHer #MeToo #TrumpTax #GOPTaxScam #ClimateChange #Jobs #NoBanNoWall pic.twitter.com/Xw9LvGS2Lh","['IMPEACHTRUMP', 'VOTETHEMOUT', 'TRUMPLIES', 'RESIST', 'RESIGN', 'UNITEBLUE', 'TRUMPTRAIN', 'MAGA', 'IMWITHHER', 'TRUMPTAX', 'GOPTAXSCAM', 'CLIMATECHANGE', 'JOBS', 'NOBANNOWALL']",14
1626,2018-03-18,The #WhipAppealTalk Show is out!  @LINK … #snl #metoo,"['WHIPAPPEALTALK', 'SNL']",2
