,time_stamp,text,HASHTAG,count_hashtag
8541,2018-03-15,セクハラ議員に対する告発を軽視、「#MeToo」運動盛り上がらないロシア（ＡＦＰ＝時事） - Yahoo!ニュース  @LINK … @MENTION,[],0
8542,2018-03-15,Yahoo!ニュース #MeToo 露ではジョーク扱い  @LINK …,[],0
8543,2018-03-15,"A lot of people are wondering where are the #MeToo activists cries about @MENTION kissing this guy against his will and stealing his first kiss; and some are even wondering, if he would have been asked and said no, would his audition have been rejected? @LINK …",[],0
8544,2018-03-15,#auspol #meToo  @LINK …,['AUSPOL'],1
8545,2018-03-15,Liberal Media Celebrates Katy Perry's Predatory Behavior on Young 'American Idol' Contestant #MeToo  @LINK …,[],0
8546,2018-03-15,"הפרשה המטלטלת על החשדות נגד רמי ברכה שהתפרסמה אתמול ב""עובדה"" היא הרבה יותר מעוד סיפור של עדות #metoo על הטרדה > @LINK  pic.twitter.com/1kdXoLj9mZ",[],0
8547,2018-03-15,@MENTION Sis this #MeToo campaign is something else,[],0
8548,2018-03-15,Otra defensa silenciosa #meToo  @LINK ,[],0
8549,2018-03-15,#meinbhi #MeToo #raiseyourvoices @LINK …,"['MEINBHI', 'RAISEYOURVOICES']",2
8550,2018-03-15,The latest The Australia News Real!  @LINK … Thanks to @MENTION #metoo #realchange,['REALCHANGE'],1
8551,2018-03-15,"#FreeAhedTamimi #Metoo #TimesUp Free this little girl, imprisoned because she stood up for herself and her family! pic.twitter.com/62oTBhYDE2","['FREEAHEDTAMIMI', 'TIMESUP']",2
8552,2018-03-15,WATCH: Katy Perry Gives Teenager A #MeToo Moment  @LINK …,[],0
8553,2018-03-15,Aastaid hiljem! Martin Helme jagab traagilist kogemust: homolembesed reklaamimehed ründasid mind otse kaamerate silme all! #metoo  @LINK … pic.twitter.com/EpX7nZ16wk,[],0
8554,2018-03-15,#MeToo #WeToo #電車には差別乗せるな安全守れ 男子って疲れるね… pic.twitter.com/xHu0FCwy9k,"['WETOO', '電車には差別乗せるな安全守れ']",2
8555,2018-03-15,"@MENTION FFS - stop being such an idiot and use some LOGIC. #metoo is a global campaign, this is something that happened in a provincial backwater. A cursory Google search will yield plenty of articles on Operation Chalice and its aftermath. This is why I called you ignorant.",[],0
8556,2018-03-15,#MeToo 露ではジョーク扱い    @LINK ,[],0
8557,2018-03-15,@MENTION Hollywood: 98% die beschuldigd zijn van #metoo zijn liberals. Het is de denkwijze. Entitlement. En dan Oxfam en NGO’s: links. Etc.,[],0
