,time_stamp,text,HASHTAG,count_hashtag
10000,2018-03-08,"""We have to get people on boards and in leadership that can provide a different perspective when it comes to sexual harassment.""@MENTION of @MENTION talks about handling #MeToo in the workplace this #InternationalWomensDay",['INTERNATIONALWOMENSDAY'],1
10001,2018-03-08,To celebrate the #InternationalWomansDay we investigated the reactions to the #MeToo in different European countries. Read about its impact in #germany in the article by @MENTION @LINK … pic.twitter.com/E4ZgvzKOXJ,"['INTERNATIONALWOMANSDAY', 'GERMANY']",2
10002,2018-03-08,Til hamingju með daginn konur. Mér finnst reyndar síðastliðið ár eiga að vera tileinkað konum. #metoo #Aldreiaftur Djöfull eru konur magnaðar! Vildi að eg hefði þennan kjark. Einn daginn... pic.twitter.com/SVH4EFPVYR,['ALDREIAFTUR'],1
10003,2018-03-08,New youtube video on South Korea's #meToo movement. I'm #withyou even as a male. Keep being strong and sharing your stories. @LINK #YouTube #Youtuber #SouthKorea #NewVideo,"['WITHYOU', 'YOUTUBE', 'YOUTUBER', 'SOUTHKOREA', 'NEWVIDEO']",5
10004,2018-03-08,"In honor of #InternationalWomensDay , I want to celebrate women everywhere who are breaking glass ceilings, resisting inequality, and demanding a better world despite the consequences. #resist @MENTION @MENTION @MENTION #MeToo #txlege @MENTION @MENTION pic.twitter.com/267PIprSiT","['INTERNATIONALWOMENSDAY', 'RESIST', 'TXLEGE']",3
10005,2018-03-08,@MENTION Thats why I making the new movie in support of #MeToo — 1980s ninja revenge film against @MENTION #TweenSteam #MeTwo #InternationalWomensDay   @LINK  pic.twitter.com/iRCOcR1rTY,"['TWEENSTEAM', 'METWO', 'INTERNATIONALWOMENSDAY']",3
10006,2018-03-08,@MENTION I support you and your moving #metoo  issue. I will be discussing you Friday 7pm pacific in Hollywood please tune in @MENTION pic.twitter.com/rcxpwnabX2,[],0
10007,2018-03-08,This is the exact reason why MALE SEXUAL ASSAULT SURVIVORS DO NOT SAY ANYTHING! #metoo  @LINK …,[],0
10008,2018-03-08,"@MENTION @MENTION @MENTION @MENTION Every damn day is men’s day! Trying to control women, trying to keep them stupid, etc. That’s why we have a day for women! That’s why we have the #MeToo movement and others!",[],0
10009,2018-03-08,A powerful video on the impact of the gender pay gap. Love this simple insights gathering technique drives such an emotional storytelling exercise. Happy Womens Day! Well done @MENTION !#metoo #timesup #womensday #canada @LINK …,"['TIMESUP', 'WOMENSDAY', 'CANADA']",3
10010,2018-03-08,2018 and still Inequality? Challange: Gentlemen share this post and why you believe women need to be lifted up. Ladies share this challange with gentlemen in your life. Real change requires inclusivity. #InternationalWomensDay #BeTheChange #metoo #timesup pic.twitter.com/0ZDD0sfmL6,"['INTERNATIONALWOMENSDAY', 'BETHECHANGE', 'TIMESUP']",3
10011,2018-03-08,"On #IWD2018, we are saluting courageous women in the #MeToo movement who are changing the national discourse around sexual misconduct.  #InternationalWomensDay","['IWD2018', 'INTERNATIONALWOMENSDAY']",2
10012,2018-03-08,"Happy #InternationalWomensDay As we strive to empower women everywhere, ending gender bias can start with a conversation. Join us for Talk It Out: #MeToo, a Desi Round Table discussion on the women's movement in our community. RSVP today! @MENTION @MENTION #CDYR pic.twitter.com/aRGiOw4zsC","['INTERNATIONALWOMENSDAY', 'CDYR']",2
10013,2018-03-08,"En cette #JourneeDeLaFemme, nous célébrons les femmes qui travaillent pour faire progresser les droits des femmes et des filles et l'égalité. Lisez cette article d'opinion de notre DG - Le mouvement #MeToo doit s’étendre aux femmes des pays du Sud  @LINK  pic.twitter.com/msV8hFyrjY",['JOURNEEDELAFEMME'],1
10014,2018-03-08,Feminismos en el sur global: más allá del #MeToo  @LINK … vía @MENTION,[],0
10015,2018-03-08,Jessica Jones had her #MeToo moment in season one. Now she's having an identity crisis.  @LINK  pic.twitter.com/FEa1Cy1Ju1,[],0
10016,2018-03-08,"#InternationalWomensDay yes, you are whores #metooby the way, if you want to bitch around, how about you talk about islam and its rape culture?  pic.twitter.com/8pBVjAAGhu","['INTERNATIONALWOMENSDAY', 'METOOBY']",2
