,time_stamp,text,HASHTAG,count_hashtag
7229,2018-03-14,#bertrandcantat All my support to Bertrand and all my contempt to #feminazis #feminists #femixtremists Those women just want to scalp all men #metoo #BalanceTonPorc Scr*w this feminist sh*t!! #ggrmc #DoubleStandards @LINK …,"['BERTRANDCANTAT', 'FEMINAZIS', 'FEMINISTS', 'FEMIXTREMISTS', 'BALANCETONPORC', 'GGRMC', 'DOUBLESTANDARDS']",7
7230,2018-03-14,A #MeToo Moment for Egypt? Maybe  @LINK ,[],0
7231,2018-03-14,@MENTION @MENTION @MENTION Guest speaker at Hume Fogg today prior to gun violence protest is @MENTION !  #metoo #neveragain,['NEVERAGAIN'],1
7232,2018-03-14,"Lesson for the day: If she’s a clucking chicken, you f#@MENTION’ listen... @MENTION #MeToo",[],0
7233,2018-03-14,Indie bands hit with #metoo allegations  @LINK  pic.twitter.com/yZw5gwokVQ,[],0
7234,2018-03-14,#metoo  가 장난이냐  @LINK …,[],0
7235,2018-03-14,.@MENTION entonó un #MeToo en esta intervención  #Las30deForbes #30Promesas @LINK …,"['LAS30DEFORBES', '30PROMESAS']",2
7236,2018-03-14,"There is a revolution happening among women today. It's not about women vs. men or feminism vs. patriarchy or #metoo or #timesup. It's about all of these things, none of these things, and much more than these things. My revolution lives in this body: @LINK …",['TIMESUP'],1
7237,2018-03-14,@MENTION ¿Donde queda el fenómeno #Metoo en España?  @LINK … vía @MENTION,[],0
7238,2018-03-14,@MENTION #metoo #TimesUp @LINK …,['TIMESUP'],1
7239,2018-03-14,#bertrandcantat All my support to Bertrand and all my contempt to #feminazis #feminists #femixtremists Those women just want to scalp all men #metoo #BalanceTonPorc Scr*w this feminist sh*t!! #ggrmc,"['BERTRANDCANTAT', 'FEMINAZIS', 'FEMINISTS', 'FEMIXTREMISTS', 'BALANCETONPORC', 'GGRMC']",6
7240,2018-03-14,Al Harris was interviewed by NBC News for the #MeToo movement. See what he said here:  @LINK ,[],0
7241,2018-03-14,"Perspective: When to start teaching kids about consent during the #MeToo era? Early, and often.  @LINK ",[],0
7242,2018-03-14,"""While accusations of sexual misconduct are damaging enough, not responding to such complaints is arguably just as destructive.""#MeToo @LINK ",[],0
7243,2018-03-14,"Actor Terry Crews and his wife, Rebecca, speak out about his #MeToo accusation and their marriage. What does Terry say almost led them to divorce? #DrPhil Full story:  @LINK  pic.twitter.com/V2jo5IYLEr",['DRPHIL'],1
7244,2018-03-14,"Actor Terry Crews and his wife, Rebecca, speak out about his #MeToo accusation and their marriage. What does Terry say almost led them to divorce? #DrPhil Full story:  @LINK  pic.twitter.com/vBsIcDjf5j",['DRPHIL'],1
7245,2018-03-14,"#MeToo El arquitecto Richard Meier, acosador sexualCuatro ex empleadas y una diseñadora que no estaba vinculada a la empresa de Meier relataron episodios de abuso del arquitecto @LINK …",[],0
7246,2018-03-14,"Nuestro #MeToo laboral de cada día, por @MENTION en @MENTION marzo  @LINK  pic.twitter.com/Uz0l6P4IB4",[],0
7247,2018-03-14,It’s time the virtue-signalling #MeToo brigade & their band of jolly followers who swoon over the lies spouted by members of the Islamist Muslim Brotherhood got behind real girls & real women who suffer such brutality by many Muslim men worldwide. #TimesOut #Telford #@MENTION @LINK …,"['TIMESOUT', 'TELFORD']",2
7248,2018-03-14,@MENTION #metoo.  And I'm from PA.,[],0
7249,2018-03-14,"@MENTION @MENTION @MENTION @MENTION @MENTION @MENTION @MENTION @MENTION @MENTION @MENTION @MENTION @MENTION @MENTION #metoo #maga  you like t- he-ad- 0f- t- 0/0- L- (b-) e- (n-)d- 0- h-and- you take com-f0r- (k-)t- (h-) in- (e-) d- e/b- t- hie-ven-d- sus- (p-)en- d- (i-) s- (h-) i/t- (u-) s- (h-) am- e- (n-) d- (i-) s- h- im- s- (c-) am- (e-n-d-) s-  so being a ""good"" jack ass is about -0- pic.twitter.com/a2eiSfkIsG",['MAGA'],1
7250,2018-03-14,Whoever decided the best way to deal with the Mayor Hancock(D) sexual harassment scandal was to have a secret closed door meeting and have Denver City Council sign nondisclosure agreements about it is an idiot. Now this looks totally corrupt.#copolitics #HancockScandal #metoo  @LINK …,"['COPOLITICS', 'HANCOCKSCANDAL']",2
7251,2018-03-14,"@MENTION Tak je dobře, že byly rozesmátý, to v #metoo určo helfne",[],0
7252,2018-03-14,"Is there industry that *won’t* feel the effects of #MeToo? Hope not. Just this week, there’s been progress in the worlds of advertising, journalism, and more.  @LINK …",[],0
7253,2018-03-14,"@MENTION that and also the #metoo movement has officially kicked the hell off in korea and somebody came out with their story of being assaulted by an idol and she gave a vague description and people guessed it was sandeul, even though he didnt match the details..wm already denied it ",[],0
7254,2018-03-14,"seeing all the tweets about how much of a garbage person moolah is and how #WomensWrestling deserved SO MUCH BETTER, it makes my heart sing. @MENTION, PLEASE PLEASE PLEASE RECONSIDER naming a battle royale after a rapist/abuser/enabler of abuse. #MeToo #TimesUp","['WOMENSWRESTLING', 'TIMESUP']",2
7255,2018-03-14,"""The lack of comment on the Telford abuse scandal exposes the hypocrisy at the heart of the #MeToo movement. ""  @LINK …",[],0
7256,2018-03-14,@MENTION #MeToo,[],0
7257,2018-03-14,Women workers worldwide are leading the movement for a global ban on sexual violence and harassment of workers. #Metoo  @LINK …,[],0
7258,2018-03-14,"@MENTION Hallow #MeToo movement, where are you on this > Shame on you. ?Anyone ???.",[],0
7259,2018-03-14,Casey Affleck won't attend Academy Awards in apparent #MeToo fallout - Entertainment …  @LINK @LINK … ➜  @LINK @LINK … pic.twitter.com/LIsDKR1pao,[],0
7260,2018-03-14,@MENTION In before @MENTION #metoo ‘s you.,[],0
7261,2018-03-14,Women in low wage jobs worldwide are fighting sexual harassment and sexual violence in the workplace. #MeToo  @LINK …,[],0
7262,2018-03-14,"How many of the #metoo black dress wearing, virtue signalling celebs have you seen tweeting about the 1000s of working class white girls who’ve been abused? ",[],0
7263,2018-03-14,[미국의 식민지에서 벗어나자] - 투표소 수개표로 부정선거 차단하자 #MeToo세월호 진실이 밝혀질때 까지 계속한다.세월호 선체 절단물 수색 과정서 '사람 뼈 추정 1점' 발견  @LINK …,['METOO세월호'],1
7264,2018-03-14,#MeToo isn't coming to libraries. Not any time soon.,[],0
7265,2018-03-14,"Gain insights, practical legal advice, and hear firsthand how to navigate being an HR or business leader during the #MeToo movement at #WorkHuman. The learnings don't stop with the panel. More - including our Drive-In speaker lineup - from Laurie...  @LINK  pic.twitter.com/aOxqjjo3Wx",['WORKHUMAN'],1
7266,2018-03-14,"@MENTION @MENTION What makes you think that? I have yet to see any middle class feminist say investigations in to grooming gangs have 'gone too far', the way some say about #metoo",[],0
7267,2018-03-14,#MeToo wersja rosyjska  @LINK …,[],0
7268,2018-03-14,"Gain insights, practical legal advice, and hear firsthand how to navigate being an HR or business leader during the #MeToo movement at #WorkHuman. The learnings don't stop with the panel. More - including our Drive-In speaker lineup - from Laurie...  @LINK  pic.twitter.com/PMFQ1zShKO",['WORKHUMAN'],1
7269,2018-03-14,#respect #metoo  pic.twitter.com/LuleQchH6L,['RESPECT'],1
7270,2018-03-14,@MENTION Girls on Trampolines and Guess What’s in Jimmy’s Pants.  Nothing screams #metoo like vintage Man Show reruns.  Find a new spokesboy.,[],0
7271,2018-03-14,"@MENTION Not sure the comparison works. Part of the point of targeting powerful men in the #metoo movement is a history of their ability to skirt justice. I'm not sure you can say the same of the group being called ""the wrong kind of perpetrator"" here.",[],0
7272,2018-03-14,@MENTION #MeToo but not hem.,[],0
7273,2018-03-14,Where are all of you #MeToo gals?  Don't these girls count? Or do guys get a pass if they're Muslim abusers?  @LINK …,[],0
