,time_stamp,text,HASHTAG,count_hashtag
588,2018-03-11,確かこのコだったよねぇ。女優って言う肩書きで某週刊誌でヘアヌードになってたのは。それも結局「男尊女卑」の「一環」だったって事なのかな？やらされた？→グラドル石川優実の主張！「 #metoo 」で思う「男女平等」「人権」とは？ @LINK ,[],0
589,2018-03-11,10 books to read during the #MeToo era...  pic.twitter.com/rUw5Zft8ht,[],0
590,2018-03-11,매년 수조원을 쓰고도 효과없는 출산장려예산을 성평등(차별없는세상)예산으로 바꾸어 망해가는 헬조선을 희망의 대한민국으로 바꾸자. #하루빨리_페미니즘교육#차별금지법_입법적용#Metoo #Withyou #TimesUp #예산낭비_STOP #Korea_Seoul #Feminism @LINK …,"['하루빨리_페미니즘교육', '차별금지법_입법적용', 'WITHYOU', 'TIMESUP', '예산낭비_STOP', 'KOREA_SEOUL', 'FEMINISM']",7
591,2018-03-11,Thank you Jaebum and Jinyoung for acknowledging and supporting #MeToo#GOT7 #JJProject #EyesOnYou #Jaebum #JB #Jaebeom #Jinyoung,"['GOT7', 'JJPROJECT', 'EYESONYOU', 'JAEBUM', 'JB', 'JAEBEOM', 'JINYOUNG']",7
592,2018-03-11,@MENTION She just set Woman back A 100 Years! #MeToo,[],0
593,2018-03-11,Otra defensa silenciosa #meToo  @LINK …,[],0
594,2018-03-11,@MENTION @MENTION All the females he has fondled have been threatened paid off #MeToo #WomensDay Can someone help them please,['WOMENSDAY'],1
595,2018-03-11,The Rising Pressure of the #MeToo Backlash  @LINK …,[],0
596,2018-03-11,@MENTION @MENTION @MENTION That would be #metoo no doubt,[],0
597,2018-03-11,So begins my least favorite week in our town.  Applaud and celebrate a child molester while you victim blame his victims.  Just be Jersey! #MeTooPhD #PTSD #Trauma #stopvictimblamimg #metoo,"['METOOPHD', 'PTSD', 'TRAUMA', 'STOPVICTIMBLAMIMG']",4
598,2018-03-11,The latest The MOMI SMASH Daily!  @LINK … #thewalkingdead #metoo,['THEWALKINGDEAD'],1
599,2018-03-11,This weekend! #metoo,[],0
600,2018-03-11,"‘불면 핵폭풍’ 종교계 미투… 목사님, 떨고 있나요?  @LINK #종교계미투 #MeToo",['종교계미투'],1
601,2018-03-11,Hey girls from South Korea from #Metoo you girls are not alone! Fighting!,[],0
602,2018-03-11,"@MENTION @MENTION If the #MeToo ladies can do it, why can't the Republicans? There is strength in numbers!",[],0
603,2018-03-11,"#CaraotaInvestiga #MeToo, el movimiento que le quita supremacía al hombre sobre la mujer por @MENTION @LINK ",['CARAOTAINVESTIGA'],1
604,2018-03-11,The next wave of #metoo hits on-screen sex.  @LINK …,[],0
605,2018-03-11,始球式の動画、マジでトラウマ。女性に何かあったら被害者のせいと言われるのなら、護身用でナイフを持ち歩こうかなと思うほど。だって誰も助けてくれないんだよ？こんなのおかしいよ。 #metoo #wetoo,['WETOO'],1
