,time_stamp,text,HASHTAG,count_hashtag
9345,2018-03-16,"Did you know you can connect:50 shadesThe Illuminati9/11""The Jews""School shootingsJewish bankersand the #metoo movement?No?You obviously don't read enough Men's Rights blogs.  pic.twitter.com/o5L9NR4gTD",[],0
9346,2018-03-16,"On voit des hommes prendre la parole partout dans les médias...  Pas pour nous appuyer ou changer les choses, mais pour s'inquiéter des risques de dérapage, s'insurge Lauren Bastide sur les mouvements #MeToo #BalanceTonPorc et #MoiAussi. #Assises2018","['BALANCETONPORC', 'MOIAUSSI', 'ASSISES2018']",3
9347,2018-03-16,Jennifer Lopez on Her #MeToo Moment: “I Was Terrified” - Vanity Fair  @LINK …,[],0
9348,2018-03-16,"After 9 years in Delhi and 16 years in Metropole cities, it finally happened to #metoo: Some guy thought it necessary to stop his car in front of me and show me how he was holding his penis in his hand. Luckily I took a photo of his licence plate. Of to the police now",[],0
9349,2018-03-16,"Rebecca Solnit opina de #MeToo, los movimientos masivos y el décimo aniversario de “Los hombres me explican cosas”  @LINK ",[],0
9350,2018-03-16,@MENTION #MeToo ?,[],0
9351,2018-03-16,@MENTION @MENTION @MENTION @MENTION Why #metoo gang silent now???,[],0
9352,2018-03-16,"Once harassed herself, South Korean lawyer fights for #MeToo victims  @LINK ",[],0
9353,2018-03-16,@MENTION @MENTION #MeToo @MENTION @MENTION @MENTION @MENTION @MENTION @MENTION @MENTION @MENTION @MENTION @MENTION @MENTION @MENTION @MENTION @MENTION @MENTION @MENTION @MENTION @MENTION @MENTION @MENTION @MENTION pic.twitter.com/igy0lgPSkk,[],0
9354,2018-03-16,"@MENTION @MENTION Excuse me?! This is stupid. You're better than this. Wag mong idamay lahat. Yes, these self-righteous 'Madres' are too much na but your quoting an archaic biblical passage is uncalled for. #MeToo",[],0
9355,2018-03-16,"Rendez-vous à 18h lundi 19/03 @MENTION pour une séance de #QuestionsPubliques inscrite dans le off des #FameusesNantes : notre invitée, Peggy Sastre, co-rédactrice de la tribune publiée dans @MENTION contestant le #metoo, entrée libre ! #Féminisme @LINK …","['QUESTIONSPUBLIQUES', 'FAMEUSESNANTES', 'FÉMINISME']",3
9356,2018-03-16,Institutional sexual harassment: Do you feel like you haven’t been heard? Do you want to share your views and contribute towards making a difference? We would love to see you at The Inclusion Convention:  @LINK …#metoo #timesup #NoMoreSilence #EndSilentWitnesses pic.twitter.com/eGAznq6uzN,"['TIMESUP', 'NOMORESILENCE', 'ENDSILENTWITNESSES']",3
9357,2018-03-16,"22 March, Geneva: @MENTION and @MENTION are co-hosting a frank and open discussion to look at what the #MeToo moment means for the humanitarian sector. Register now to join our discussion:  @LINK … #AidToo pic.twitter.com/kU1hvWDLTM",['AIDTOO'],1
9358,2018-03-16,@MENTION @MENTION #metoo ?,[],0
9359,2018-03-16,"What will become of feminism in fashion, if and when the #MeToo hashtags stop trending, wonders @MENTION, strategy director at @MENTION  @LINK  <sub> pic.twitter.com/M0ybwYLrdk",[],0
9360,2018-03-16,The Power of Video Advertising News is out!  @LINK … #metoo #timesup,['TIMESUP'],1
9361,2018-03-16,Rewatching The Quiet Man with #Metoo and the Vatican in mind  @LINK …,[],0
9362,2018-03-16,@MENTION Arvey weinstein??? #TimesUp #Metoo,['TIMESUP'],1
9363,2018-03-16,Helen Skelton reveals how she was GROPED on live TV while pregnant – but insists #MeToo “needs perspective”  @LINK …,[],0
9364,2018-03-16,"Coming up on @MENTION TV Report - JLo Shares Her #MeToo Story , find out more on  @LINK  pic.twitter.com/oZFE4slnbq",[],0
