,time_stamp,text,HASHTAG,count_hashtag
0,2018-03-08,"Basta #violenza sulle #donne! Unisciti a noi, firma e chiedi all’Europa di applicare la #ConvenzionediInstanbul. Aggiungi il tuo nome! #metoo  @LINK …","['VIOLENZA', 'DONNE', 'CONVENZIONEDIINSTANBUL']",3
1,2018-03-08,"Guys this is so suspicious, there's too many dating news thrown out rn. i think they're trying to cover up the #MeToo in korean govt",[],0
2,2018-03-08,#MeToo  @LINK …,[],0
3,2018-03-08, @LINK …가해자의 실태입니다.#미투운동 #미투 #MeToo #withyou #문영여중교사오경원자수해 #문영여중 #서울문영여중 #공유 #RT,"['미투운동', '미투', 'WITHYOU', '문영여중교사오경원자수해', '문영여중', '서울문영여중', '공유', 'RT']",8
4,2018-03-08,#TodosLosDiasSon8DeMarzo #futuroenfemenino #TimesUp #MeToo  pic.twitter.com/pF6VitLqha,"['TODOSLOSDIASSON8DEMARZO', 'FUTUROENFEMENINO', 'TIMESUP']",3
5,2018-03-08,@MENTION Je ne vous ai pas entendu sur le mvt #MeToo êtes vous solidaire??,[],0
6,2018-03-08,"Depuis plusieurs mois, la vague #metoo et #balancetonporc suscite des questions qui mobilisent et qui divisent.  Ne manquez pas ""Débats Première 100% Bruxelles"", avec notamment @MENTION, en direct ce vendredi de 12h20 à 13h sur la @MENTION à Bruxelles et sur RTBF Auvio",['BALANCETONPORC'],1
7,2018-03-08,The #metoo should have picked a different hashtag. “#” is a pound key. So basically you’re saying pound me too which goes against everything you are saying.,[],0
8,2018-03-08,@MENTION @MENTION Wat had je dan voor foto gewild? Een vrouw die met gescheurde kleren onder een seksmonster ligt die bezig is haar met grof geweld te verkrachten??? Je weet donders goed dat het bij deze campagne niet gaat over 'niets'. JIJ bent degene die #METOO naar niets degradeert.,[],0
9,2018-03-08,"@MENTION La mayoría de los profesores en la revisión de exámenes lo hacen con la puerta abierta y de dos o de tres en tres alumnos, pero de esto hace mucho tiempo. Y no existía el #MeToo",[],0
10,2018-03-08,#MujeresPrimero La ola del #MeToo sigue elevada para acabar con el acoso sexual a la mujer  @LINK  pic.twitter.com/jCQC417Pdm,['MUJERESPRIMERO'],1
11,2018-03-08,"@MENTION @MENTION Right away. I put it up as my status on #Facebook because my feed was full of #metoo. I felt a real sense of solidarity, togetherness and being part of a bigger thing, millions of women connected via the invisible threads of the internet.",['FACEBOOK'],1
12,2018-03-08,"@MENTION Stop #MeToo this is used as an  excuse by those who gave their ass up for fame, now feel guilty . Forbid gay couples to have kids as this is sexist.",[],0
13,2018-03-08,"THE EROTIC ADVENTURES OF CARL REVISED on Amazon. Child sex abuse , rape , molesting  erotic #erotic #swingers #secrets #MYSTERY #rendezvous Couple Child Sex . #metoo  boy cougar #cougarwoman Student teacher sex, child teacher sex , humiliation #humiliation  @LINK  pic.twitter.com/95q3nx4TiT","['EROTIC', 'SWINGERS', 'SECRETS', 'MYSTERY', 'RENDEZVOUS', 'COUGARWOMAN', 'HUMILIATION']",7
14,2018-03-08,@MENTION @MENTION Jij vindt seksuele intimidatie geen serieuze zaak? Want daar gaat #metoo over daar is sprake van grensoverschrijdend gedrag intimidatie en pesten. Macht en dingen gebeuren zonder toestemming en ten koste vd ander,[],0
15,2018-03-08,ร้ายกาจอะเอาข่าวออกเดทมากลบกระแส #metoo ภายในไม่กี่วันปล่อยออกมารัวๆ แล้วถ้ากระแสยังไม่หยุดรายต่อไปจะเป็นใครกันนะ,[],0
16,2018-03-08,"@MENTION I'm glad that you have come out for empowering women, like all those who have stood up to call out their abusers, like those who have pointed the finger at your father.  How are you going to make sure they get justice? #MeToo #TimesUp",['TIMESUP'],1
17,2018-03-08,韓国のリベラル政治家も女性秘書暴行で「#MeToo」入り！ 日本より容赦ない粛清の嵐  @LINK  ::ハーバービジネス,[],0
