Account,Frequency
@kwilli1046,170
@ShawnMendes,120
@FirstOrderPod,80
@davidluhnow,80
@Variety,60
@SCSsoftware,60
@temblor,60
@arasaucedo24,50
@ABC,40
@AnimalsBelize,40
@rstein357,40
@realDonaldTrump,40
@usairforce,40
@MotorcyclistMag,40
@trbrad62,30
@BuyDeal,20
@HolidayInn,20
@MacStoreMx,20
@emweeklyrpt,20
@WSJForero,20
@worthybieber,20
@editorialcrj,20
@SavetheChildren,20
@papermagazine,20
@flyvolaris,20
@aicm_mx,20
@JohnRStitesII,20
@FutAcademy,20
@U2,20
@Mica_ela_,20
@NetworksManager,20
@Madonna,20
@prize_jesse,20
@stillgray,20
@samsmithworld,20
@motorcyclistmag,20
@UNISDR_Americas,20
@AureliaBAILLY,20
@DianaDee16,20
@hyperallergic,20
@dbeltwrites,20
@MattOswaltVA,20
@Telegraph,20
@IAEMCdnCouncil,20
@HazOsterfield,20
@HeffronDrive,20
@LRB,20
@Disturbed,20
@paddingtonbond,20
@SWForceNews,20
@jewish_voice,20
