Account,Frequency
@arichooseslove,340
@ShawnMendes,70
@latimes,60
@AFPMexico,60
@aurabogado,50
@APEntertainment,40
@ninadobrev,30
@selenagomez,30
@diegoluna_,30
@SalmaHayek,20
@kwilli1046,20
@shaymitch,20
@NBCNightlyNews,20
@NBCNews,20
@Variety,20
@incandesceinto,20
@ABC,10
@nytimes,10
@DUALIPA,10
@KayaJones,10
@grouchypuppy,10
@CNN,10
@OmarJimenezCNN,10
@madmimi,10
@elzol1067fm,10
@NJHNEWS2,10
@johnmccaa,10
@slipknot,10
@bad_dominicana,10
@nytopinion,10
@billiejoe,10
@SavetheChildren,10
@LesterHoltNBC,10
@papermagazine,10
@realDonaldTrump,10
@davidluhnow,10
@nikkihaley,10
@mattgutmanABC,10
@BorderXBrewing,10
@kimbrunhuber,10
@jdbalart,10
@BoxingKingdom14,10
@ShawnM_Updates,10
