Account,Frequency
@ShawnMendes,150
@1DUpdatesOnline,140
@Variety,120
@MattOswaltVA,110
@psskow,60
@ClaytonTConn,60
@cyclingtips,50
@LanceWymanNews,50
@ABC,40
@MixersStream,40
@SavetheChildren,20
@TheWholeWorldOr,20
@realDonaldTrump,20
@Independent,20
@hellogiggles,10
@justjaredjr,10
@nytimes,10
@GMA,10
@DUALIPA,10
@Edelman11,10
@BeatStars,10
@RLPeeples2009,10
@U2,10
@AFP,10
@CNN,10
@papermagazine,10
@OT4WWUpdates,10
@LAPhil,10
@selenagomez,10
@TIME,10
@common,10
@XHNews,10
@NBCNightlyNews,10
@djsnake,10
@HuffPost,10
@WatchableNow,10
@MIT,10
@SamaritansPurse,10
@Bethenny,10
@Culture_LA,10
@lamolecomiccon,10
