Account,Frequency
@ABC,460
@ABC7,30
@AnimalsBelize,20
@japantimes,20
@SacAreaFF522,20
@cnalive,20
@worldnetdaily,20
@Crux,20
@sarahparvini,10
@DiablaDelRio,10
@TheWholeWorldOr,10
@AlyssaRamos,10
@ShawnMendes,10
@AFP,10
@SavetheChildren,10
@papermagazine,10
@ChartLittleMix,10
@bruce_schlink,10
@pagetraveller,10
@EJKrause_mx,10
@foodcityaz,10
@Mixmag,10
@slipknot,10
@plasticsnews,10
@selenagomez,10
@EuropeDiaries,10
@U2start,10
@XHNews,10
@USATODAY,10
@MUTEK_MX,10
@BundlePup,10
@Variety,10
@AlexDosdos,10
@OfficialMonstaX,10
@nytvideo,10
@arichooseslove,10
@Lynxie63,10
@Independent,10
@brennanlafferty,10
@VOANews,10
@itsalltuna,10
