Account,Frequency
@arichooseslove,490
@guynamedgabe,90
@SavetheChildren,50
@papermagazine,50
@billiejoe,40
@DUALIPA,30
@selenagomez,30
@itsDominiqueB,20
@Animal_Watch,20
@JustinTrudeau,10
@aleszubajak,10
@Fl_QueenM,10
@AP,10
@WmBrangham,10
@ShawnMendes,10
@Raiderzilla,10
@jenmezei,10
@CNN,10
@NBCNews,10
@ClevverTV,10
@NewsHour,10
@rstudio,10
@trtworld,10
@djsnake,10
@KYMA11,10
@CBSLA,10
@CidWilson,10
@djcarnage,10
@cnni,10
@SouthwestAir,10
@VivianFabiolaV,10
@FlashPointGG,10
