Account,Frequency
@guynamedgabe,170
@selenagomez,80
@voguemagazine,40
@ABC,30
@ShawnMendes,30
@Breaking911,30
@AaronCarpenter,20
@BuzzFeedNews,20
@DUALIPA,20
@Miguelnbc,20
@jorge_guajardo,20
@ajplus,20
@samsmithworld,20
@NBCNightlyNews,20
@CBSLA,20
@realDonaldTrump,20
@jdbalart,20
@Edelman11,20
@DrakeBell,20
@DavidPapp,10
@RAIDERS,10
@GMA,10
@CollinRugg,10
@NBCNews,10
@TheJBCrewdotcom,10
@ConstanteMx,10
@GigiGraciette,10
@MdKnightBabe,10
@slipknot,10
@arden_cho,10
@AlexxSegura,10
@CNN,10
@ericnus,10
@TomvlaM,10
@AG_USA,10
@djsnake,10
@nytimesworld,10
@tonyposnanski,10
@thenewsmexico,10
@Forbes,10
@NathanSykes,10
@HazOsterfield,10
@TelemundoNews,10
@dlprager,10
@piercethevic,10
@newsroom,10
@spillingdown,10
@kofisiriboe,10
@brielarson,10
@Know4LIFE,10
@P31OBS,10
@MissJuliaKelly,10
@sleeepyzee,10
@john,10
@France24_en,10
@conecora1,10
