Account,Frequency
@jorge_guajardo,110
@JustinTrudeau,70
@GGGBoxing,70
@wbcmoro,70
@realDonaldTrump,50
@Breaking911,40
@FifthHarmony,40
@NBCNews,40
@AP,30
@Mariano_Frias,30
@ShawnMendes,30
@mcantu06,30
@DrakeBell,30
@sebtsb,20
@PERRYSWlTNESS,20
@Mikel_Jollett,20
@scotthoying,10
@Practicalintuit,10
@edits_shawn,10
@archaeologymag,10
@rafafc91,10
@Humbird_97,10
@Raiderzilla,10
@eugenegu,10
@ruedareport,10
@UrgentNews5,10
@Foro_TV,10
@loudibella,10
@paco_parada,10
@common,10
@RPeavyhouse,10
@wendymoralles,10
@nytimes,10
@President1Trump,10
@Sgouromitis,10
@The_Jag_10,10
@FIAWEC,10
@jaimestein,10
@gollygee13,10
@NancyPelosi,10
@SenFranken,10
@DennisDePew,10
@dlprager,10
@dutchsinse,10
@islandgrI,10
@MingNa,10
@NYTimes,10
@jbjfan88,10
@karlaperezz2313,10
@SOMEXlCAN,10
@JeffScheid,10
@Enrique_Acevedo,10
@conecora1,10
@MonicaOP,1
