Account,Frequency
@ABC,220
@ShawnMendes,100
@YouTube,80
@arasaucedo24,60
@Biedersam,60
@arichooseslove,60
@FirstOrderPod,60
@latimes,40
@Boomskie,40
@SanDiegoMag,40
@aogarza,40
@WesternUnion,40
@APEntertainment,40
@cibc,20
@ZaynDailyVotes,20
@AnimalsBelize,20
@LITTLEPEACH_KH,20
@packers,20
@BostonSprtsNews,20
@eugenegu,20
@AirCanadaVac,20
@interjet_mx,20
@eastbaytimes,20
@Reuters,20
@HSIGlobal,20
@AirCanada,20
@PeriscopeTV,20
@selenagomez,20
@HFUSA,20
@UArkansas,20
@diegoluna_,20
@yossi_ghinsberg,20
@AshCrossan,20
@Variety,20
@rexthedog1980,20
@OfficialMonstaX,20
@AirCanadaRouge,20
@HSI_Mexico,20
@WhyDontWeians,20
@Complex,20
@soldier_777,20
@POTUS,20
@realDonaldTrump,20
@VINNews,20
@Bethenny,20
@VP,20
@ronlin,20
@Dirigentes,20
@Visa,20
@martharoldos,20
@VisaCA,20
@BombingScience,20
@Eater,20
