Account,Frequency
@mehdifoundation,130
@luchablog,50
@ShawnMendes,50
@miss_galey,50
@temblor,50
@realDonaldTrump,40
@ChuckNASCAR,40
@MessiahFdn,30
@KalkiAvatarFdn,30
@arasaucedo24,30
@larrywilbur71,30
@Variety,30
@selenagomez,30
@ArianaGrande,20
@ArianaGrande_26,20
@YouTube,20
@bigkidlive,10
@samosaidso,10
@DZynda_GPW,10
@ChiliDogTags,10
@lifeisgoodlizzie,10
@DUALIPA,10
@ECVHS,10
@PaulGilbertRock,10
@Blissful_BSW,10
@DCarr_GPW,10
@sdschools,10
@StormieLynchR5,10
@adrichavezs,10
@AlRa_TV,10
@deemehlow,10
@chihlango7,10
@kelliwashere,10
@WaltDisneyWorld,10
@itswordhard,10
@WBG_Climate,10
@LaganjaEstranja,10
@kexp,10
@amjoyshow,10
@CarmenYulinCruz,10
@MikeLove110,10
@ohrangutang,10
@antoniomarvel,10
@LeonKrauze,10
@Nvr4Get91101,10
@BSWrestling,10
@billiejoe,10
@kgounews,10
@Eater,10
@MarianHillMusic,10
@CentAmPolMike,10
@speakz,10
@itsplanetsearth,10
@NYSPA,10
@UnderdaSeabass,10
@aicm_mx,10
