Account,Frequency
@MattOswaltVA,300
@ShawnMendes,90
@AFPMexico,90
@Variety,60
@nytimes,40
@selenagomez,30
@arichooseslove,30
@wawinaApr,20
@vress_shark,20
@AdrianneCurry,20
@Notimex,20
@diazbriseno,20
@usatoday,10
@I_AmAmerica,10
@96axum,10
@CNN,10
@SavetheChildren,10
@papermagazine,10
@billiejoe,10
@Mexico,10
@JoanneSpruceC21,10
@common,10
@JaafarJackson,10
@amjoyshow,10
@AviMayer,10
@realDonaldTrump,10
@GeneralStrikeUS,10
@joshgad,10
@AntaraFashion,10
@IoanGrillo,10
@piercethevic,10
@PacoGoldman,10
@bubblegum_out,10
@DuffMcKagan,10
@DrakeBell,10
@morning_joe,10
