,time_stamp,text,sentence,num_sentence,average_sentence_length,tokens,count_tokens
2503,2018-03-18,"@MENTION @MENTION Why, are you scared they will find something? #MeToo #NeverAgain #Enough #SensibleGunReform #StandbyYou","['@MENTION @MENTION Why, are you scared they will find something?', '#MeToo #NeverAgain #Enough #SensibleGunReform #StandbyYou']",2,8,"['@MENTION', '@MENTION', 'Why', 'are', 'you', 'scared', 'they', 'will', 'find', 'something', 'MeToo', 'NeverAgain', 'Enough', 'SensibleGunReform', 'StandbyYou']",15
2504,2018-03-18,@MENTION hard to believe that you are against bullying. But I am sure you are and the bully is scaring you.  Break free there is more to life than money. Time to come out #metoo,"['@MENTION hard to believe that you are against bullying.', 'But I am sure you are and the bully is scaring you.', 'Break free there is more to life than money.', 'Time to come out #metoo']",4,9,"['@MENTION', 'hard', 'to', 'believe', 'that', 'you', 'are', 'against', 'bullying', 'But', 'I', 'am', 'sure', 'you', 'are', 'and', 'the', 'bully', 'is', 'scaring', 'you', 'Break', 'free', 'there', 'is', 'more', 'to', 'life', 'than', 'money', 'Time', 'to', 'come', 'out', 'metoo']",35
2505,2018-03-18,"I'm so glad I submitted. Thank you, Memoir Magazine for hosting. This is a great next step for #MeToo and #TimesUp and for survivors of every background, gender, profession, and type. We're everywhere. This needs to end. #NoMore @LINK …","[""I'm so glad I submitted."", 'Thank you, Memoir Magazine for hosting.', 'This is a great next step for #MeToo and #TimesUp and for survivors of every background, gender, profession, and type.', ""We're everywhere."", 'This needs to end.', '#NoMore @LINK\xa0…']",6,7,"['I', 'm', 'so', 'glad', 'I', 'submitted', 'Thank', 'you', 'Memoir', 'Magazine', 'for', 'hosting', 'This', 'is', 'a', 'great', 'next', 'step', 'for', 'MeToo', 'and', 'TimesUp', 'and', 'for', 'survivors', 'of', 'every', 'background', 'gender', 'profession', 'and', 'type', 'We', 're', 'everywhere', 'This', 'needs', 'to', 'end', 'NoMore', '@LINK']",41
2506,2018-03-18,#WWCode Golden Lily #MeToo AIKO J-Bomb #Partei #GoldenLily #treasurehunt #Hackathon #Wikileaks #OranjeNassau  @LINK ,['#WWCode Golden Lily #MeToo AIKO J-Bomb #Partei #GoldenLily #treasurehunt #Hackathon #Wikileaks #OranjeNassau  @LINK'],1,14,"['WWCode', 'Golden', 'Lily', 'MeToo', 'AIKO', 'J', 'Bomb', 'Partei', 'GoldenLily', 'treasurehunt', 'Hackathon', 'Wikileaks', 'OranjeNassau', '@LINK']",14
2507,2018-03-18,"@MENTION This applies to ideologically unaffiliated plebeians as well. Ever try talking outside ideological doctrine to a #MAGA/#MeToo fanatic? Ha! If you disagree with the dogma, it's open season and, ""clearly"" you're a socialist/fascist/misogynist agent of evil! Authoritarians? Indeed.","['@MENTION This applies to ideologically unaffiliated plebeians as well.', 'Ever try talking outside ideological doctrine to a #MAGA/#MeToo fanatic?', 'Ha!', 'If you disagree with the dogma, it\'s open season and, ""clearly"" you\'re a socialist/fascist/misogynist agent of evil!', 'Authoritarians?', 'Indeed.']",6,8,"['@MENTION', 'This', 'applies', 'to', 'ideologically', 'unaffiliated', 'plebeians', 'as', 'well', 'Ever', 'try', 'talking', 'outside', 'ideological', 'doctrine', 'to', 'a', 'MAGA', 'MeToo', 'fanatic', 'Ha', 'If', 'you', 'disagree', 'with', 'the', 'dogma', 'it', 's', 'open', 'season', 'and', 'clearly', 'you', 're', 'a', 'socialist', 'fascist', 'misogynist', 'agent', 'of', 'evil', 'Authoritarians', 'Indeed']",44
2508,2018-03-18,@MENTION @MENTION @MENTION Pedophilia is reported/discussed/commented on #MeToo Just add #pedophilia or #pedophile to your search,['@MENTION @MENTION @MENTION Pedophilia is reported/discussed/commented on #MeToo Just add #pedophilia or #pedophile to your search'],1,18,"['@MENTION', '@MENTION', '@MENTION', 'Pedophilia', 'is', 'reported', 'discussed', 'commented', 'on', 'MeToo', 'Just', 'add', 'pedophilia', 'or', 'pedophile', 'to', 'your', 'search']",18
2509,2018-03-18,「被害者が責められる世の中変えたい」「ゆるく連帯を」　ウィメンズマーチに #metoo #wetoo(小川たまか) - Y!ニュース  @LINK …その通りですね。で、こう言う人に言いたいのですけど男性は女性にお金をあげる財布ではないのですよ。そう言う日本人女性って多いですよね。,['「被害者が責められる世の中変えたい」「ゆるく連帯を」\u3000ウィメンズマーチに #metoo #wetoo(小川たまか) - Y!ニュース  @LINK\xa0…その通りですね。で、こう言う人に言いたいのですけど男性は女性にお金をあげる財布ではないのですよ。そう言う日本人女性って多いですよね。'],1,13,"['被害者が責められる世の中変えたい', 'ゆるく連帯を', 'ウィメンズマーチに', 'metoo', 'wetoo', '小川たまか', 'Y', 'ニュース', '@LINK', 'その通りですね', 'で', 'こう言う人に言いたいのですけど男性は女性にお金をあげる財布ではないのですよ', 'そう言う日本人女性って多いですよね']",13
2510,2018-03-18,"Great debate on feminism, women's movement & power on Late Night Woman's Hour. Glad to see the dialogue continues!  @LINK … #metoo #timeisup #bbc #Debate @MENTION","[""Great debate on feminism, women's movement & power on Late Night Woman's Hour."", 'Glad to see the dialogue continues!', '@LINK\xa0… #metoo #timeisup #bbc #Debate @MENTION']",3,9,"['Great', 'debate', 'on', 'feminism', 'women', 's', 'movement', 'power', 'on', 'Late', 'Night', 'Woman', 's', 'Hour', 'Glad', 'to', 'see', 'the', 'dialogue', 'continues', '@LINK', 'metoo', 'timeisup', 'bbc', 'Debate', '@MENTION']",26
2511,2018-03-18,#metoo  @LINK ,['#metoo  @LINK'],1,2,"['metoo', '@LINK']",2
2512,2018-03-18,Ricky Gervais HUMANITY  D.E.F.I.N.T.I.V.O. grazie #Netflix e grazie Gervais che non ha mostrato il pisello in giro! #MeToo,"['Ricky Gervais HUMANITY  D.E.F.I.N.T.I.V.O.', 'grazie #Netflix e grazie Gervais che non ha mostrato il pisello in giro!', '#MeToo']",3,9,"['Ricky', 'Gervais', 'HUMANITY', 'D', 'E', 'F', 'I', 'N', 'T', 'I', 'V', 'O', 'grazie', 'Netflix', 'e', 'grazie', 'Gervais', 'che', 'non', 'ha', 'mostrato', 'il', 'pisello', 'in', 'giro', 'MeToo']",26
