Account,Frequency
@ChiliDogTags,10
@ECVHS,10
@BeatStars,10
@VOANews,10
@madmimi,10
@ryanliestman,10
@UnderdaSeabass,10
@edits_shawn,10
@PaulGilbertRock,10
@PatiJinich,10
@DCarr_GPW,10
@sdschools,10
@UrgentNews5,10
@kelliwashere,10
@LAPhil,10
@RPeavyhouse,10
@HuffPost,10
@jbjfan88,10
@HoneyWest25,10
@JeffScheid,10
@ConstanteMx,10
@KayaJones,10
@tonyposnanski,10
@johnmccaa,10
@JoanneSpruceC21,10
@tw_hsm,10
@FIAWEC,10
@boozychef,10
@MarianHillMusic,10
@MichaelDelauzon,10
@DZynda_GPW,10
@Practicalintuit,10
@NYDailyNews,10
@Blissful_BSW,10
@AndreaRussett,10
@jenmezei,10
@OmarJimenezCNN,10
@Mixmag,10
@AG_USA,10
@AlexxSegura,10
@rayguy3,10
@Sgouromitis,10
@The_Jag_10,10
@ruedareport,10
@lust_mvmt,10
@usatoday,10
@pagetraveller,10
@jaimestein,10
@StormieLynchR5,10
@96axum,10
@TomvlaM,10
@Foro_TV,10
@editorialtnt,10
@LaganjaEstranja,10
@arden_cho,10
@IOEAOfficial,10
@ShawnM_Updates,10
@USATODAY,10
@kexp,10
@nikkihaley,10
@itsplanetsearth,10
@Enrique_Acevedo,10
@lamolecomiccon,10
@MissJuliaKelly,10
@ClevverTV,10
@DavidPapp,10
@NFL,10
@WmBrangham,10
@deemehlow,10
@thenewsmexico,10
@JenSelter,10
@JaafarJackson,10
@AlexDosdos,10
@islandgrI,10
@Jezebel,10
@DuffMcKagan,10
@LesterHoltNBC,10
@john,10
@OneRepublic,10
@samosaidso,10
@Fl_QueenM,10
@GigiGraciette,10
@paco_parada,10
@Forbes,10
@lorde,10
@NathanSykes,10
@SouthwestAir,10
@Know4LIFE,10
@sleeepyzee,10
@MonicaOP,1
