,date,HASHTAG,count_hashtag
295,2018-09-26,"['练锦鸿', '田径教练', '性侵', 'HK', 'HONGKONG', 'HK01', '香港01']",7
299,2018-09-25,"['BILLCOSBY', '比尔寇斯比', 'IWEEKLY', 'I周刊']",4
300,2018-09-25,"['朱军', '米兔']",2
304,2018-09-25,['COSBY'],1
306,2018-09-25,"['SORROW', 'DEPRESSION', 'CAMARADERIE', '大地惊雷']",4
311,2018-09-25,"['朱军', '朱军', '米兔']",3
312,2018-09-25,['METOOMATTERS'],1
315,2018-09-24,"['加拿大要闻', '米兔']",2
318,2018-09-24,"['团圆', '中秋の名月']",2
319,2018-09-24,['米兔'],1
320,2018-09-23,['WOMEN'],1
324,2018-09-21,['FAKENEWS'],1
327,2018-09-21,['不能闭嘴的巨婴'],1
330,2018-09-21,['中国'],1
332,2018-09-20,['中国'],1
333,2018-09-20,"['TIBET', 'TIBETANS', 'NEPAL', 'METOOGURU']",4
336,2018-09-20,['卡瓦诺性侵'],1
342,2018-09-19,['中国'],1
344,2018-09-19,['米兔'],1
345,2018-09-19,['我也是'],1
346,2018-09-18,['反性骚扰'],1
347,2018-09-18,['米兔'],1
354,2018-09-17,"['METOOGURU', 'SEXABUSE', 'HUMANRIGHTS', 'WOMENRIGHT', 'TIBETCAUSE', 'DALAILAMA', 'DORJESHUGDEN', 'BUDDHISM', 'BUDDHA', 'BHODRANGZEN', 'TIBETANYOUTH', 'TIBETANBUDDHISM']",12
355,2018-09-17,['一锅粥'],1
358,2018-09-17,['政治角力'],1
362,2018-09-14,['本周热读'],1
363,2018-09-13,['郭强奸'],1
364,2018-09-13,['米兔'],1
365,2018-09-13,['米兔'],1
370,2018-09-12,['METOOMATTERS'],1
371,2018-09-12,['CENSORSHIP'],1
372,2018-09-12,"['GETONBOARDQLD', 'MUFC', 'ANZSPM18', 'MACMILLER', 'MASTERCHEFAU', '7NEWS', '정국', 'JUNGKOOK', 'RIPMAC', 'RISEFORCLIMATE', 'JK', 'BONVOYAGES3', 'U20WWC', 'YAMATO2202', '9NEWS', 'CROENG', 'THEBACHELORAU', 'QANDA', 'GOOGLEPAY']",19
373,2018-09-12,"['TEACHERSPET', 'ASKACURATOR', 'GETTHEV11PRO', 'SUNRISE18', 'WORLDSUICIDEPREVENTIONDAY', 'MACMILLER', 'MYTAUCKLAND', 'RIPMAC', 'RISEFORCLIMATE', 'SKODAINDIA', 'ENGVIND', 'AFLSWANSGIANTS', 'GALAXYA8STAR']",13
